Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_252.jpg;0;0;0;0;99.66999;85.58897;0.0002373401;48.80061;3.871267E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_293.jpg;0;0;0;0;99.66999;85.58897;0.000237355;48.80061;7.985432E-07
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_338.jpg;0;0;0;0;99.66999;85.58897;0.0002373698;48.80061;-2.274187E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_419.jpg;0;0;0;0;99.66999;85.58897;0.0002376858;48.80061;-7.05791E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_461.jpg;0;0;0;0;99.66999;85.58897;0.0002378005;48.80061;-1.009309E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_505.jpg;0;0;0;0;99.66999;85.58897;0.0002378019;48.80061;-1.191676E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_550.jpg;0;0;0;0;99.66999;85.58897;0.0002379656;48.80061;-1.356541E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_589.jpg;-4.490592;0;0;0;99.66999;85.58897;0.0002383317;48.26177;-1.204449E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_630.jpg;-3.880176;0;0;0;99.66999;85.58897;0.0002382565;47.79617;-1.089435E-05
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_704.jpg;-5.666252;0;0;0;99.66999;85.58897;0.0002383459;46.43633;-7.443441E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_756.jpg;-8.858579;0;0;0;99.66999;85.58897;0.0002395798;45.37332;-3.7693E-06
C:\Users\pocs.geza\Desktop\Udacity\RoboND-Rover-Project\recorded_dataset\IMG\robocam_2018_01_24_15_53_16_798.jpg;-11.25597;0;0;0;99.66999;85.58897;0.000240138;44.02262;3.811666E-07
